Type,Date,Candle_Percent,MACD_Percent,Asset_Tag
CBullDivg_Classic,1999-10-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1999-10-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1999-12-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1999-12-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1999-12-15 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-02-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-02-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-02-25 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-02-25 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-02-28 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-05-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-05-23 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-05-23 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-05-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-05-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-05-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-07-06 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-09-20 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-09-20 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-09-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-09-27 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-10-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-10-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-10-04 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-10-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-10-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-11-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-11-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-11-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-11-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2000-12-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2000-12-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2001-03-14 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2001-03-16 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2001-03-16 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2001-03-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2001-03-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2001-06-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2001-06-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2001-07-06 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2001-07-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2001-07-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2001-07-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2001-07-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2001-08-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2001-08-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-01-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-01-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-02-20 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-02-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-02-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-04-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-04-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-04-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-04-15 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-05-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-05-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-05-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-05-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-06-04 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-06-04 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-06-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-06-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-06-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-06-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-06-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-06-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-06-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-06-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-06-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-07-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-07-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-07-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-07-15 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-09-30 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-09-30 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-10-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-10-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-10-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-10-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-10-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2002-12-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-12-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2002-12-27 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2003-01-30 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2003-01-30 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2003-02-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2003-02-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2003-02-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2003-02-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2003-03-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2003-03-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2003-07-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2003-07-25 00:00:00+00:00,0.4,3.25,sp500_stooq
