Type,Date,Candle_Percent,MACD_Percent
CBullDivg_Hidden,2019-07-27 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-07-28 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-08-08 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-08-16 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-08-16 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-08-21 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-08-22 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-09-08 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-09-09 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-09-10 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-09-10 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-09-11 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-09-26 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-09-26 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-09-26 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-09-30 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-10-03 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-10-04 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-10-05 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-10-13 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-10-14 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-10-18 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-10-18 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-10-18 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-11-11 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-11-12 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-11-12 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-11-17 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-11-21 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-11-25 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-11-25 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-12-02 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-12-02 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-12-04 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-12-04 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-12-04 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-12-14 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-12-15 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-12-15 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-12-18 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-12-25 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-12-26 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-12-26 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-12-27 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-12-27 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-12-31 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-01-02 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-01-02 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-01-12 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-01-12 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-01-20 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-01-21 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-01-22 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-01-22 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-01-24 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-02-01 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-02-03 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-02-03 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-02-16 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-02-17 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-02-20 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-02-20 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-02-28 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-02-28 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-02-28 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-03-01 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-03-11 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-03-30 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-04-13 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-04-13 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-04-13 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-04-16 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-04-16 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-05-25 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-05-25 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-05-25 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-05-25 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-06-15 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-06-15 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-06-19 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-06-19 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-06-20 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-06-20 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-06-20 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-06-28 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-07-03 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-07-04 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-07-04 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-07-05 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-07-05 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-07-05 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-07-12 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-07-12 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-07-14 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-07-14 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-08-04 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-08-04 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-08-09 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-08-09 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-08-22 00:00:00+00:00,0.1,3.25
